status,project,preset,grid_profile,active_params,model,seed,n_samples,n_refs,radius_pct,n_sensors,observation_mode,noise,observation_noise,observation_event_noise_mode,observation_event_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,train_observation_active_fraction,test_observation_active_fraction,train_observation_active_fraction_gt_0p5,test_observation_active_fraction_gt_0p5,train_observation_events_per_sample,test_observation_events_per_sample,train_observation_events_per_sample_gt_0p5,test_observation_events_per_sample_gt_0p5,test_observation_first_active_index,test_observation_first_active_index_gt_0p5,test_model_event_abs_mean,test_model_spike_mean,test_model_spike_active_fraction_gt_0p5,test_model_spike_count_per_sample,early_active_test_mae_25,early_active_test_mae_50,early_active_test_mae_75,run_hash,run_dir
pending,apcardiac1d,ShortPulse,coarse20,"a,d,mu1",convmulti,1234,256,0,1,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562ad1f599f9,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-shortpulse-locality-e300-n256-ms4/apcardiac1d/preset-shortpulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1234/run-562ad1f599f9
pending,apcardiac1d,ShortPulse,coarse20,"a,d,mu1",convmulti,1234,256,0,2,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b45e3237c7ff,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-shortpulse-locality-e300-n256-ms4/apcardiac1d/preset-shortpulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1234/run-b45e3237c7ff
pending,apcardiac1d,ShortPulse,coarse20,"a,d,mu1",convmulti,1234,256,0,5,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c82d7c30045c,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-shortpulse-locality-e300-n256-ms4/apcardiac1d/preset-shortpulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1234/run-c82d7c30045c
pending,apcardiac1d,ShortPulse,coarse20,"a,d,mu1",convmulti,1234,256,1,1,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8cc352f40a39,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-shortpulse-locality-e300-n256-ms4/apcardiac1d/preset-shortpulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1234/run-8cc352f40a39
pending,apcardiac1d,ShortPulse,coarse20,"a,d,mu1",convmulti,1234,256,1,2,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54a2a796a728,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-shortpulse-locality-e300-n256-ms4/apcardiac1d/preset-shortpulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1234/run-54a2a796a728
pending,apcardiac1d,ShortPulse,coarse20,"a,d,mu1",convmulti,1234,256,1,5,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82a3f5567b11,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-shortpulse-locality-e300-n256-ms4/apcardiac1d/preset-shortpulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1234/run-82a3f5567b11
pending,apcardiac1d,ShortPulse,coarse20,"a,d,mu1",convmulti,1235,256,0,1,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb243696f008,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-shortpulse-locality-e300-n256-ms4/apcardiac1d/preset-shortpulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1235/run-bb243696f008
pending,apcardiac1d,ShortPulse,coarse20,"a,d,mu1",convmulti,1235,256,0,2,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4912f810d460,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-shortpulse-locality-e300-n256-ms4/apcardiac1d/preset-shortpulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1235/run-4912f810d460
pending,apcardiac1d,ShortPulse,coarse20,"a,d,mu1",convmulti,1235,256,0,5,0,default,0,0,none,0,300,0.001,16,20,strong,absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ff393edac61b,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-shortpulse-locality-e300-n256-ms4/apcardiac1d/preset-shortpulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1235/run-ff393edac61b
pending,apcardiac1d,ShortPulse,coarse20,"a,d,mu1",convmulti,1235,256,1,1,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76932e1bf9e3,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-shortpulse-locality-e300-n256-ms4/apcardiac1d/preset-shortpulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1235/run-76932e1bf9e3
pending,apcardiac1d,ShortPulse,coarse20,"a,d,mu1",convmulti,1235,256,1,2,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0195861c23b7,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-shortpulse-locality-e300-n256-ms4/apcardiac1d/preset-shortpulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1235/run-0195861c23b7
pending,apcardiac1d,ShortPulse,coarse20,"a,d,mu1",convmulti,1235,256,1,5,0,default,0,0,none,0,300,0.001,16,20,strong,reference_delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4adf0b7c219a,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/apcardiac1d-shortpulse-locality-e300-n256-ms4/apcardiac1d/preset-shortpulse/grid-coarse20/active-a-d-mu1/convmulti/seed-1235/run-4adf0b7c219a
