status,project,preset,active_params,model,seed,n_refs,radius_pct,n_sensors,noise,observation_noise,epochs,learning_rate,batch_size,hidden_dim,residual_form,formulation,device,test_mae,active_test_mae,active_params_detected,param1_mae,param2_mae,active_param1_mae,active_param2_mae,data_loss,physics_loss,total_loss,run_hash,run_dir
complete,diffreact,default,"D,k_f",mlp,1234,0,-1,0,0,0,100,0.001,16,20,strong,absolute,cuda,0.00419092998129,0.00838185847247,1,1.49011611383e-09,0.00838185847247,0.00838185847247,nan,0.001971981721,3.3696385799e-05,0.0020056781359,657f8bb8642a,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/mlp/seed-1234/run-657f8bb8642a
complete,diffreact,default,"D,k_f",mlp,1234,0,-1,0,0,0,100,0.001,16,20,weak,absolute,cuda,0.00410755362994,0.00821510576977,1,1.49011611383e-09,0.00821510576977,0.00821510576977,nan,0.00178655970376,0.00914958957583,0.010936149396,7bf326e9d888,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/mlp/seed-1234/run-7bf326e9d888
complete,diffreact,default,"D,k_f",mlp,1234,1,-1,0,0,0,100,0.001,16,20,strong,reference_delta,cuda,0.00080610499684,0.00161220850356,1,1.49011611383e-09,0.00161220850356,0.00161220850356,nan,7.46220030123e-05,3.23047461279e-05,0.000106926745502,81403e6ecb9f,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/mlp/seed-1234/run-81403e6ecb9f
complete,diffreact,default,"D,k_f",mlp,1234,1,-1,0,0,0,100,0.001,16,20,weak,reference_delta,cuda,0.000804409396923,0.00160881730373,1,1.49011611383e-09,0.00160881730373,0.00160881730373,nan,7.10618842277e-05,0.00914257019758,0.00921363197267,0f5af0bf1db4,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/mlp/seed-1234/run-0f5af0bf1db4
complete,diffreact,default,"D,k_f",mlp,1235,0,-1,0,0,0,100,0.001,16,20,strong,absolute,cuda,0.00224479085204,0.00448958021397,1,1.49011611383e-09,0.00448958021397,0.00448958021397,nan,0.000431328982813,3.15831930493e-05,0.000462912168587,1849c5466b43,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/mlp/seed-1235/run-1849c5466b43
complete,diffreact,default,"D,k_f",mlp,1235,0,-1,0,0,0,100,0.001,16,20,weak,absolute,cuda,0.00244740853833,0.00489481558654,1,1.49011611383e-09,0.00489481558654,0.00489481558654,nan,0.000467163597932,0.00911647081375,0.00958363432437,bda46e604cc0,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/mlp/seed-1235/run-bda46e604cc0
complete,diffreact,default,"D,k_f",mlp,1235,1,-1,0,0,0,100,0.001,16,20,strong,reference_delta,cuda,0.000616497797456,0.0012329941048,1,1.49011611383e-09,0.0012329941048,0.0012329941048,nan,3.40296246577e-05,3.16427431244e-05,6.56723714201e-05,8e8f5a557167,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/mlp/seed-1235/run-8e8f5a557167
complete,diffreact,default,"D,k_f",mlp,1235,1,-1,0,0,0,100,0.001,16,20,weak,reference_delta,cuda,0.000904878123684,0.00180975475725,1,1.49011611383e-09,0.00180975475725,0.00180975475725,nan,6.0467467847e-05,0.00911551248282,0.0091759795323,8aa7fcf2a8fe,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/mlp/seed-1235/run-8aa7fcf2a8fe
complete,diffreact,default,"D,k_f",mlp,1236,0,-1,0,0,0,100,0.001,16,20,strong,absolute,cuda,0.00193459663731,0.00386919178451,1,1.49011611383e-09,0.00386919178451,0.00386919178451,nan,0.000338881247444,3.26111876348e-05,0.000371492438717,d4784e24a91d,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/mlp/seed-1236/run-d4784e24a91d
complete,diffreact,default,"D,k_f",mlp,1236,0,-1,0,0,0,100,0.001,16,20,weak,absolute,cuda,0.00198172327895,0.00396344506779,1,1.49011611383e-09,0.00396344506779,0.00396344506779,nan,0.000343690509908,0.00913534499705,0.00947903562337,2e18f7119ea4,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/mlp/seed-1236/run-2e18f7119ea4
complete,diffreact,default,"D,k_f",mlp,1236,1,-1,0,0,0,100,0.001,16,20,strong,reference_delta,cuda,0.000427197880794,0.000854394271473,1,1.49011611383e-09,0.000854394271473,0.000854394271473,nan,2.11750721064e-05,3.20792205457e-05,5.32542908331e-05,20c6a22d6988,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/mlp/seed-1236/run-20c6a22d6988
complete,diffreact,default,"D,k_f",mlp,1236,1,-1,0,0,0,100,0.001,16,20,weak,reference_delta,cuda,0.000425294573919,0.000850587657722,1,1.49011611383e-09,0.000850587657722,0.000850587657722,nan,2.03828949452e-05,0.00913130585104,0.00915168877691,8bc96d93e736,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/mlp/seed-1236/run-8bc96d93e736
complete,diffreact,default,"D,k_f",convmlp,1234,0,-1,0,0,0,100,0.001,16,20,strong,absolute,cuda,0.117566199316,0.235132397142,1,1.49011611383e-09,0.235132397142,0.235132397142,nan,0.934109091759,0.000413944682805,0.934523046017,fcf7ed981cbc,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/convmlp/seed-1234/run-fcf7ed981cbc
complete,diffreact,default,"D,k_f",convmlp,1234,0,-1,0,0,0,100,0.001,16,20,weak,absolute,cuda,0.117562870626,0.235125739762,1,1.49011611383e-09,0.235125739762,0.235125739762,nan,0.9341558218,0.0103737097234,0.944529533386,d982318f7611,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/convmlp/seed-1234/run-d982318f7611
complete,diffreact,default,"D,k_f",convmlp,1234,1,-1,0,0,0,100,0.001,16,20,strong,reference_delta,cuda,0.000514202370935,0.00102840325175,1,1.49011611383e-09,0.00102840325175,0.00102840325175,nan,2.43121121457e-05,3.18078782584e-05,5.61199922231e-05,9ccce2b8cc18,/home/ubuntu/Github/thesis/modelling-cardiac-functions-thesis-index/output/results/heart_problem/matrix/diffreact-locality-default-e100-n128-strong-ms2/diffreact/preset-default/active-d-k-f/convmlp/seed-1234/run-9ccce2b8cc18
